date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
2023-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,0.027847384132656527,0.051927365402994585,0.14710886117969246,0.04145942517608581,0.09410806131282778,0.14612207261881238,0.06622917396706063,-0.04948182552234526,0.0949343339587243,0.10968941382327224,0.24749470308652577,0.0962724500169434,0.01024999999999987,0.08878281622911688,0.07835977308082853,0.18247333525511666,0.06294067250948521,0.05086206896551726,0.055739925499491916,0.11708579283577247,0.23659883109103585,0.12219804134929269,0.024778582930756965,0.021412574425083264,0.017206688406299797,0.06339520608009352,0.01727357609710567,0.08793372716778713,0.009227319765436226,0.0615045833973471,0.1296791443850267,0.020823109417549723,5.3641870368270617e-05,0.10814249363867678,0.0472737040021487,0.033638387336136555,0.03913632588836924,0.04927440874364897,-0.001414552205817321,0.0677447668696971,0.12607936799559072,0.04470228458355807,0.12367772210291905,0.07705263157894748,0.03528014842300564,0.07748312226977894,0.09435204489520799,0.29345152457418666,0.06903143459289374,0.08184913567312724
2023-12-31,0.20792436030612005,0.2408843125378557,0.031678709339024724,0.09054777396711433,0.026111240400279234,0.11603221383947249,0.0073498655512398425,0.028903803760232494,0.2625085675119945,0.01724647679116975,0.03433555198531102,0.10011024903918475,0.028045863235172774,0.09893321642554453,0.0016844760415675175,0.0632810695681183,0.06450030287708186,0.09337012454321703,0.09651655119322555,-0.0637712631197973,0.0839213940639687,0.19237855134296522,0.04651254149397954,0.06593935504572435,0.09061455562376386,0.0603030615400475,0.06034878384580078,0.09880164773436517,0.0869577601184881,0.1340537758909044,0.0495524199666213,-0.028881955376247936,0.09672348273855946,0.1907768848067355,0.05180815593741994,0.13519980856664282,0.08727875361733628,-0.0018463682285316807,0.1368747233289065,0.022967317656436892,0.02740955255536992,0.1552518295307792,0.10411947904869767,0.09147771696637985,0.08768207363229741,0.04234407633400217,0.05295651177447991,0.09614280588446356,0.16652690853153995,0.14102408909333009
2024-01-31,0.10286245809859773,0.17894274417923572,0.11375151207026524,-0.13065777098518694,-0.03134355438628322,0.128037073816617,-0.03470162534108434,-0.06343693493910141,0.009229098805646041,0.1341794225925208,0.11472063196201132,-0.026234206558083395,0.08400866565032494,0.08018617021276597,0.05575294503182193,-0.0733437914806323,0.022879582382956842,0.07496078030148023,-0.14433230949246745,-0.10839647440853561,0.11643777705306135,-0.05773765959177035,-0.06846975356144058,0.03165763596227178,-0.04058913662090757,0.07647935705489672,-0.044470893745942486,-0.06998011928429426,-0.04342015617630102,-0.013116846284741968,-0.04501561235110452,-0.011201382215621725,-0.05719649514866276,0.020408163265306145,0.23018775908315048,0.09317032040472184,0.10380124877173169,-0.021953092279770936,-0.002414142200763081,0.20138313933667762,0.1262455833895748,0.02870158180090554,0.13366241425732417,-0.02614613180515768,0.005944535245426152,0.04793148155423732,0.006012869172482338,0.010474803188268211,-0.03196229648671811,0.014534266921281569
2024-02-29,0.045639719923615596,0.09344594874342715,-0.039564296901439366,-0.0459624389336849,0.0068836338094122596,0.03153549699708513,-0.02058624715786883,-0.05355607687712183,0.10328133405056472,-0.04044588707610841,0.20204634126920928,-0.044859956909818366,0.09574389341228717,0.07521851532684964,0.04951683915604077,-0.012292947181998026,0.007540229885057537,0.05574238578680202,-0.0404430617756657,0.009365244536940542,-0.04220445521524163,-0.13031846034348837,-0.027905945880598804,0.023391528473471812,-0.03855806525211036,0.007827081702691308,-0.07983240856075191,-0.02265925609234709,-0.07440076701821663,-0.000632229326819389,0.17005237504162762,0.10812415945969822,0.03599361532322409,0.05700787401574803,0.04895936570862247,0.0908214423447744,0.023951550156662726,0.10805409841915559,0.16799375487900092,-0.01143181449651376,0.11244668476153552,0.06444981752651069,0.074643745758878,0.03604266274365586,0.07315347423315299,-0.044839350654219734,-0.019783370069370254,0.2574871637052756,-0.027037659949052273,0.08459688382306818
2024-03-31,-0.026876483837584564,0.0161681181370692,0.041825095057034245,0.00880612353378929,-0.025951074318667944,0.1566247542465562,0.03140293637846647,0.11545182322738579,-0.017552413456850324,0.09369297191436332,-0.0024177789553870843,-0.010865624748247815,0.011213564359779937,-0.0059537439890083865,-0.04146009261781525,0.05983018668916773,0.0437619786437895,-0.07230219070228683,0.031708707424825455,0.08823024054982831,0.06682480515079647,0.11193807680857404,-0.061331509347925306,0.03906101501615655,0.052952742558817434,-0.10505406535635353,0.054270243662318585,0.037620297462817254,0.05685282192429475,0.08234245373898297,-0.005718277789277693,0.11622602063189036,0.010072413527463242,0.0005959475566150729,0.013038548752834389,-0.021035884744564415,0.017148138006571667,-0.03368651573218251,0.005681058681994422,-0.032313622570327105,0.026997053138565708,-0.07886408493840613,0.04483266680698783,0.10649627263045791,-0.053429708676222765,-0.020214310947128777,0.04894603244674989,0.01705394404657623,-0.014480813553839345,-0.07423833397608948
2024-04-30,-0.04454036470551437,-0.01263181428624649,-0.0644506670022652,0.010239747080003525,0.11334988540870894,-0.026726715237507026,-0.01755026310186447,-0.04440150443393942,0.1600496277915633,0.07626566824027359,0.008233731739707872,-0.02754899465512861,-0.06476502221183078,0.04653305689933185,0.007535036294840758,0.14383101535093168,0.05436540899750786,-0.1146383337112501,0.04986532219075901,-0.07847161916791667,-0.0379581983355568,0.15020080321285145,-0.014971183783425768,0.05222720204884301,-0.024018029620090142,-0.05173392076365946,0.01704213843819291,0.06263550951577934,-0.09047885746289552,-0.045059645580382,0.1223098342311395,0.01723364827167506,-0.04383472839247238,0.08159618820726622,0.055213579556053105,0.09010473094980154,-0.012686341151529335,-0.042459590068322006,0.09822555991227477,0.0813204508856682,-0.07309246860633734,0.011082993147015996,0.01520950846091873,0.058710298363811475,-0.014356473957124138,0.012338754907459393,-0.05590772791835452,0.1169959473150961,0.02284301708354075,-0.03686731930847753
2024-05-31,0.11675450944446264,0.08491206883538371,-0.018143296732861525,0.0018429013526199967,-0.0032163993481431064,0.020339972932449157,-0.05349845201238401,-0.032620548706949526,0.266096256684492,0.038153217877940016,0.033653846153846034,0.08455909295532837,0.03371428571428581,0.08122386088487787,-0.06647808777783148,0.029592813329273104,-0.039557978977048935,-0.03109907800380507,0.007532399184264182,-0.057911419515120244,0.12690813440309934,0.06975481067659839,0.04420632607769748,-0.025512865090403403,-0.0355281388137495,-0.009608954278272352,-0.021117869849649917,-0.0018703241895262623,0.03476092244219342,0.020866371755279278,0.16226493843763778,-0.03262726740784094,-0.06081997288027441,-0.01156387665198233,-0.0654056920629309,0.027000165645187924,-0.024948875255623615,-0.03491002749643235,0.004962178517397886,-0.0774581651448053,-0.028160575194727366,-0.04339843250452158,-0.08423454707808309,0.013333333333333197,-0.039181814612696875,-0.027740403640680644,-0.09677509228947545,0.033844304859520724,-0.005650907304060926,-0.0523356401384083
2024-06-30,-0.06865317249769143,0.02831501321831076,0.059340320591861895,0.012442732194918982,0.08871488189992682,0.04589009053633841,0.038957215752976726,0.06238708810487181,0.0336205440108126,0.051939537424877,-0.03169799299139853,0.057096799104212614,0.023217247097844007,-0.03674674267100975,0.10540673532636391,-0.012781375106951542,0.15291958985429033,0.10233366059965254,0.0994090953609088,0.08220423751932326,0.08985076959137439,0.0060926960179878975,0.06182778386037224,0.07006823959680664,0.0018127714881828183,0.11361859407207331,-0.00363465822487985,0.05786156379535523,0.07266127112592224,-0.032935437276864876,0.14380049875311718,-0.029473438016662135,0.083549195294917,0.053899721448467997,0.0372612067334972,0.06758064516129036,0.09437919463087252,0.07613242931332942,0.022400192689829623,0.23680465580595134,0.041820797369502616,0.0350925775617581,0.0723185265438786,0.04072966507177034,0.06352579032675476,0.16435345353901254,0.050063234522964795,0.20194553809372384,0.17673339720639403,0.17492012779552724
2024-07-31,-0.002439293077128868,0.062106758676679696,0.06945050681410359,0.05738674345657424,-0.07836395969176058,0.017107555003604835,0.03998362875043293,-0.04336980275593594,0.033180778032036784,0.03289359786710988,0.1516696825135715,0.05641442412177766,0.04288222582387902,0.10366691324104416,0.054378470405398005,0.06200579933446759,0.03980602520174514,0.12537681556590852,-0.04041453854376997,0.20241996470884804,-0.01633629650871038,-0.03453247783144686,0.0940539010533552,0.012754251417139262,-0.025059747354045814,0.19243657252273816,0.16580371852200537,-0.0034889962426194465,0.002995839112343912,0.07511730473868883,0.014354734620550147,0.08990888202861091,-0.037348382419219006,0.09951103475617806,0.21881838074398252,0.05212267714156216,-0.038309697201993065,0.17540802305707293,0.027622357029271294,0.007023870856946557,0.13051911759871127,0.09683758002915188,0.16862844152563783,-0.04988219067869648,0.12325346106066637,0.08672702485405681,0.016083073849950003,0.06554011514913727,0.018795155940657837,0.013887540060211645
2024-08-31,-0.04734334574367394,-0.05605452576597236,0.04719362689522777,0.013730162589765005,0.007846668381785493,0.12699964818608867,0.07955680682953403,0.05776449070435352,-0.05299794336339192,0.06536824109148198,0.021711184116554705,0.01223971164069182,0.07161820889723503,0.00526618153963998,0.04160432560551075,-0.0004433070707476894,-0.02805438012064465,0.06736271764276158,0.013089896332972417,0.03242487770789659,-0.006021736555858248,0.04741636798088411,0.026740339659601098,0.011770516091859307,-0.0017859644207871561,0.04038538739462072,0.013222973654991366,0.013843253433881042,-0.014989767133137932,-0.02892529488859763,-0.03521562693445224,-0.05434666585339809,0.01807559997557351,0.00048076923076911804,-0.01032315978456011,-0.031016657093624334,0.0027899005599729687,0.055113620163658616,-0.0651077487391104,0.09295861116321902,0.05949922935993257,0.009420076538121824,-0.039164829464401696,-0.07602975866448936,0.0384005837618433,0.052817807514153214,0.03070295899044506,0.22602329165953083,-0.0492378356551586,0.03141762452107266
2024-09-30,0.038584463543478,-0.022741075646130038,0.03921328040418626,0.06469873352948685,0.04845777494150183,0.1335347126901132,0.10675527887608327,0.0698388228023028,-0.04744403608419645,0.07583147163399517,0.034391164546344166,0.08247299432133559,-0.00048341289503905926,-0.028193161253452836,-0.03978610081989953,0.013254712226590026,0.03583007577301456,0.024440325110508976,0.0581281691001283,-0.028022201164207505,0.04710928621182675,0.07820631638981967,0.06490280777537794,0.0356329319882851,0.01568145939308896,-0.035036271029479926,0.032376967523411126,0.09451705451067882,0.04107704402515733,-0.007854993049275838,0.10319384045055968,0.06732242199467864,0.07565730280915717,0.06487265737626147,-0.1002267573696144,0.045791345583876764,-0.0218927816749801,-0.0034048532670377663,-0.033962726826875955,0.11622718052738334,0.05766749924518977,-0.002666333374994778,-0.1230035542358392,0.10336475517151111,-0.0626406807576173,-0.03623586923311939,0.07259161606103515,0.05809673476514754,0.044249197037666166,0.005664933135215655
2024-10-31,-0.06014318286907849,-0.049889518022372625,-0.02450983796698214,-0.11818509507073982,-0.05895958448303851,-0.20327718806572204,-0.1128255802168846,-0.10557574970790606,-0.000701508242721971,-0.05671083033546842,-0.16002162454385727,-0.09643981287915249,-0.061876549180823304,-0.11388807213564633,-0.05637182297529464,-0.026182541656304514,-0.035663822861333294,-0.016730694282055536,0.0021073294650848506,0.0029944289693593085,-0.12654050836776132,-0.09276646389843968,-0.14537065206368527,0.015121759622938047,-0.2707930367504836,-0.06309980806142035,-0.05664382900704423,-0.06446289015096351,-0.06626392297526906,-0.014487627701976535,-0.11837216065139422,-0.16328372865991836,-0.15873901001877355,-0.07908393501805056,-0.10567876344086036,-0.0908317982145388,-0.0978815912446328,-0.12030911062906724,0.040995050133265654,-0.12246466962076619,-0.04037992422276426,-0.1624127991979616,-0.14425691273790597,-0.11859982201127262,-0.07029401429073445,0.019940400710119155,-0.1456347494083342,-0.05892021413530646,-0.062391967463141906,0.01911533844306934
2024-11-30,-0.24404105522096875,-0.17384352629092625,-0.01247383484984399,-0.15786963704801327,-0.014790220344098937,-0.03605522401716088,-0.08562044837926608,-0.02987045974091951,-0.014215514215514036,-0.026851047997023425,-0.08012872083668532,-0.15340760271700205,-0.04204929917834699,-0.08406149762194448,-0.04689216763459425,0.01870409528771222,-0.036055418513641246,0.07494125307890509,0.005703750648153427,-0.04436575713393032,-0.03917186920664184,-0.04948618905327595,-0.03282903193908826,-0.010988585799961315,-0.054376657824933616,0.08251529378289946,-0.02894844517184947,0.014216779951227165,0.017532204956386188,-0.005190072605802953,0.10423118506166262,-0.0011601189911930598,-0.006915751563224881,-0.10461840009800316,-0.07721209844072885,0.050342892768079794,-0.050035659322097414,-0.08445581481367326,-0.005059741526457051,-0.09202268310554651,-0.02899021039537031,-0.05720412946985176,-0.05161561057490549,-0.03890683898761449,0.06958636243369587,0.08628352966773378,0.012748504002081384,-0.06671249307343219,0.027982992413459584,0.035973178687930485
